url,Locality,Type of property,Subtype of property,Price,Type of Transaction,Nº rooms,Living area,Equipped kitchen,Furnished,Fireplace,Terrace,Area Terrace,Land Surface,Nº facades,Swimming Pool,State Building,Garden,Area Garden
https://www.immoweb.be/en/classified/apartment/for-sale/watermael-boitsfort/1170/10672511,St Genesius Rode,APARTMENT,APARTMENT,345000,FOR_SALE,2,,Yes,No,No,Yes,17.0,,,No,JUST_RENOVATED,,
https://www.immoweb.be/en/classified/duplex/for-sale/mechelen/2800/10672808,,APARTMENT,DUPLEX,339000,FOR_SALE,2,,Yes,No,No,Yes,5.0,,1.0,No,AS_NEW,Yes,6.0
https://www.immoweb.be/en/classified/apartment/for-sale/arlon/6700/10673143,Arlon,APARTMENT,APARTMENT,230000,FOR_SALE,1,,Yes,No,No,Yes,,,,No,GOOD,,
https://www.immoweb.be/en/classified/penthouse/for-sale/ixelles/1050/10672667,Bruxelles ,APARTMENT,PENTHOUSE,200000,FOR_SALE,1,,Yes,No,No,Yes,8.0,,2.0,No,AS_NEW,,
https://www.immoweb.be/en/classified/apartment/for-sale/leuven/3000/10672892,Kessel-Lo,APARTMENT,APARTMENT,295000,FOR_SALE,2,,Yes,No,No,Yes,12.0,,2.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10631448,Gent,APARTMENT,APARTMENT,405000,FOR_SALE,3,,Yes,No,No,,,,2.0,No,JUST_RENOVATED,,
https://www.immoweb.be/en/classified/apartment/for-sale/aubange/6790/10673142,Arlon,APARTMENT,APARTMENT,260000,FOR_SALE,2,,Yes,No,No,,,,4.0,No,GOOD,Yes,
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10673053,Ixelles,APARTMENT,APARTMENT,695000,FOR_SALE,2,,Yes,No,No,Yes,50.0,,2.0,No,AS_NEW,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10672778,Gent,APARTMENT,APARTMENT,549000,FOR_SALE,3,,Yes,No,No,Yes,3.0,,4.0,No,TO_BE_DONE_UP,,
https://www.immoweb.be/en/classified/apartment/for-sale/rocourt/4000/10672098,Ans,APARTMENT,APARTMENT,420000,FOR_SALE,3,,Yes,No,No,Yes,18.0,,,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/borgerhout/2140/10670795,Borgerhout,APARTMENT,APARTMENT,175000,FOR_SALE,2,,Yes,No,No,Yes,20.0,,3.0,No,TO_BE_DONE_UP,,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-pieters-woluwe/1150/10672317,Brussel,APARTMENT,APARTMENT,765000,FOR_SALE,4,,Yes,No,No,Yes,11.0,,2.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/brussels%20city/1000/10672307,Brussel,APARTMENT,APARTMENT,985000,FOR_SALE,4,,Yes,No,No,,,,2.0,No,TO_BE_DONE_UP,,
https://www.immoweb.be/en/classified/apartment/for-sale/huy/4500/10671060,Huy,APARTMENT,APARTMENT,250000,FOR_SALE,3,,Yes,No,No,Yes,,,,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10668949,Anderlecht,APARTMENT,APARTMENT,239000,FOR_SALE,2,,Yes,No,No,,,,2.0,No,AS_NEW,,
https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10668605,Blankenberge,APARTMENT,APARTMENT,289000,FOR_SALE,2,,Yes,No,No,Yes,,,,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent%20sint-denijs-westrem/9051/10669125,Gent,APARTMENT,APARTMENT,325000,FOR_SALE,2,,Yes,No,No,Yes,15.0,,2.0,No,TO_BE_DONE_UP,,
https://www.immoweb.be/en/classified/penthouse/for-sale/embourg/4053/10611828,Embourg,APARTMENT,PENTHOUSE,399000,FOR_SALE,3,,Yes,No,No,Yes,20.0,,3.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/10670349,Woluwe-St-Lambert,APARTMENT,APARTMENT,385000,FOR_SALE,2,,Yes,No,No,Yes,10.0,,2.0,No,JUST_RENOVATED,,
https://www.immoweb.be/en/classified/apartment/for-sale/embourg/4053/10611827,Embourg,APARTMENT,APARTMENT,399000,FOR_SALE,3,,Yes,No,No,Yes,20.0,,3.0,No,GOOD,,
https://www.immoweb.be/en/classified/penthouse/for-sale/uccle/1180/10670895,Watermael-Boitsfort,APARTMENT,PENTHOUSE,595000,FOR_SALE,3,,Yes,No,No,Yes,15.0,,2.0,No,GOOD,,
https://www.immoweb.be/en/classified/loft/for-sale/brussels%20city/1000/10588500,Ternat,APARTMENT,LOFT,1250000,FOR_SALE,3,,Yes,No,No,Yes,114.0,,4.0,No,AS_NEW,,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/10668885,Antwerpen,APARTMENT,APARTMENT,425000,FOR_SALE,3,,Yes,No,No,Yes,10.0,,2.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/10668584,Berchem-Sainte-Agathe,APARTMENT,APARTMENT,129000,FOR_SALE,1,,Yes,No,No,Yes,10.0,,2.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10666536,Watermael-Boitsfort,APARTMENT,APARTMENT,345000,FOR_SALE,2,,Yes,No,No,Yes,3.0,,2.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10666879,Bruxelles,APARTMENT,APARTMENT,365000,FOR_SALE,5,,Yes,No,No,,,,2.0,No,GOOD,,
https://www.immoweb.be/en/classified/duplex/for-sale/watermael-boitsfort/1170/10666278,Ixelles,APARTMENT,DUPLEX,620000,FOR_SALE,2,,Yes,No,No,Yes,40.0,,2.0,No,AS_NEW,,
https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10666535,Watermael-Boitsfort,APARTMENT,APARTMENT,345000,FOR_SALE,1,,Yes,No,No,Yes,3.0,,2.0,No,GOOD,,
https://www.immoweb.be/en/classified/duplex/for-sale/drongen/9031/10666607,Gent,APARTMENT,DUPLEX,349000,FOR_SALE,2,,Yes,No,No,Yes,9.0,,3.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10673204,Uccle,APARTMENT,APARTMENT,750000,FOR_SALE,2,,Yes,No,No,Yes,40.0,,4.0,No,AS_NEW,,
https://www.immoweb.be/en/classified/apartment/for-sale/tubize/1480/10663652,Woluwe-St-Lambert,APARTMENT,APARTMENT,179000,FOR_SALE,1,,Yes,No,No,Yes,4.0,,2.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/vichte/8570/10663620,Vichte,APARTMENT,APARTMENT,362500,FOR_SALE,4,,Yes,No,No,,,,2.0,No,TO_BE_DONE_UP,Yes,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/10664791,Oudergem,APARTMENT,APARTMENT,695000,FOR_SALE,2,,Yes,No,No,Yes,8.0,,2.0,No,AS_NEW,,
https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/10672104,Etterbeek,APARTMENT,APARTMENT,315000,FOR_SALE,2,,Yes,No,No,Yes,9.0,,,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8430/10672353,Middelkerke,APARTMENT,APARTMENT,375000,FOR_SALE,1,,Yes,No,No,Yes,,,2.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10663906,Saint-Gilles,APARTMENT,APARTMENT,380000,FOR_SALE,2,,Yes,No,No,Yes,10.0,,3.0,No,AS_NEW,,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1040/10669000,Bruxelles,APARTMENT,APARTMENT,650000,FOR_SALE,3,,No,No,No,,,,3.0,No,AS_NEW,,
https://www.immoweb.be/en/classified/apartment/for-sale/seraing/4100/10663786,Trooz,APARTMENT,APARTMENT,160000,FOR_SALE,2,,Yes,No,No,Yes,16.0,,2.0,No,TO_BE_DONE_UP,,
https://www.immoweb.be/en/classified/flat-studio/for-sale/antwerp/2000/10670794,Borgerhout,APARTMENT,FLAT_STUDIO,115000,FOR_SALE,1,,Yes,No,No,,,,2.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10657768,Glabais ,APARTMENT,APARTMENT,460000,FOR_SALE,2,,Yes,No,No,Yes,2.0,,2.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10671160,Gentbrugge,APARTMENT,APARTMENT,175000,FOR_SALE,2,,Yes,No,No,,,,,No,TO_RENOVATE,,
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/10670583,Uccle,APARTMENT,APARTMENT,180000,FOR_SALE,1,,Yes,No,No,,,,2.0,No,TO_BE_DONE_UP,,
https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/10671067,Ganshoren,APARTMENT,APARTMENT,215000,FOR_SALE,2,,Yes,No,No,Yes,3.0,,2.0,No,AS_NEW,,
https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/10644855,,APARTMENT,APARTMENT,715000,FOR_SALE,2,,Yes,No,No,Yes,10.0,,2.0,No,JUST_RENOVATED,,
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10659994,Woluwe-St-Lambert,APARTMENT,APARTMENT,495000,FOR_SALE,4,,Yes,No,No,Yes,30.0,,,No,GOOD,,
https://www.immoweb.be/en/classified/service-flat/for-sale/les%20bons%20villers%20villers-perwin/6210/10666397,Nivelles,APARTMENT,SERVICE_FLAT,170000,FOR_SALE,1,,Yes,No,No,Yes,8.0,,,No,AS_NEW,,
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10666348,Woluwe-St-Lambert,APARTMENT,APARTMENT,240000,FOR_SALE,2,,Yes,No,No,Yes,17.0,,,No,TO_RENOVATE,,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10666878,Bruxelles,APARTMENT,APARTMENT,245000,FOR_SALE,2,,Yes,No,No,,,,2.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/10668189,Bruxelles,APARTMENT,APARTMENT,249000,FOR_SALE,2,,Yes,No,No,Yes,12.0,,2.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10668365,Dworp,APARTMENT,APARTMENT,280000,FOR_SALE,2,,Yes,No,No,Yes,19.0,,2.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/10666516,Bruxelles,APARTMENT,APARTMENT,275000,FOR_SALE,2,,Yes,No,No,Yes,7.0,,4.0,No,AS_NEW,,
https://www.immoweb.be/en/classified/apartment/for-sale/vlezenbeek/1602/10667436,Dilbeek,APARTMENT,APARTMENT,325000,FOR_SALE,2,,Yes,No,No,Yes,6.0,,2.0,No,GOOD,Yes,
https://www.immoweb.be/en/classified/apartment/for-sale/dilbeek/1700/10666507,Anderlecht,APARTMENT,APARTMENT,285000,FOR_SALE,2,,Yes,No,No,Yes,5.0,,2.0,No,GOOD,Yes,60.0
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/10666430,Woluwe-St-Pierre,APARTMENT,APARTMENT,330000,FOR_SALE,2,,Yes,No,No,Yes,,,,No,AS_NEW,,
https://www.immoweb.be/en/classified/penthouse/for-sale/anderlecht/1070/10667427,Laeken,APARTMENT,PENTHOUSE,349000,FOR_SALE,2,,Yes,No,No,,,,2.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10666575,Gent,APARTMENT,APARTMENT,625000,FOR_SALE,3,,Yes,No,No,Yes,27.0,,4.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10656608,Gent,APARTMENT,APARTMENT,359000,FOR_SALE,2,,Yes,No,No,Yes,5.0,,2.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1050/10656771,UCCLE,APARTMENT,APARTMENT,360000,FOR_SALE,1,,Yes,No,No,Yes,21.0,,2.0,No,AS_NEW,,
https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8430/10162465,Middelkerke,APARTMENT,APARTMENT,450000,FOR_SALE,2,,Yes,No,No,Yes,,,2.0,No,GOOD,,
