,id,Locality,Postcode,Street,Number,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,TerraceArea,Garden,Garden area,Surface of the land,Surface area of the plot of land,Number of facades, Swimming pool,State of the building
89,10677787,Andenne,5300,Place des Tilleuls ,3,HOUSE,MIXED_USE_BUILDING,245000,FOR_SALE,4,240.0,No,No,,Yes,40.0,No,,214,-26,2,No,TO_BE_DONE_UP
90,10535823,Ottignies (Limelette),1342,Av. Albert ,1er,APARTMENT,GROUND_FLOOR,395000,FOR_SALE,3,113.0,No info,No,,Yes,14.0,No,,No info,No info,,No,
91,10682415,Bastogne,6600,Place McAuliffe ,43,HOUSE,VILLA,585000,FOR_SALE,4,,No,No,,No,,Yes,1379.0,0,No info,4,No,
92,10682412,Woluwe-Saint-Lambert,1200,Avenue de Woluwe-Saint-Lambert ,35,HOUSE,APARTMENT_BLOCK,750000,FOR_SALE,3,180.0,No info,No,,No,,No,,0,-180,no info,No,No info
93,10682411,Woluwe-Saint-Lambert,1200,Avenue de Woluwe-Saint-Lambert ,35,HOUSE,HOUSE,455000,FOR_SALE,5,180.0,No,No,,No,,No,,0,-180,2,No,TO_BE_DONE_UP
94,10682405,Koekelberg,1081,Avenue de l'Hopital Français ,15,HOUSE,APARTMENT_BLOCK,1080000,FOR_SALE,4,300.0,No info,No,,Yes,,No,,140,-160,2,No,
95,10682403,Koekelberg,1081,Avenue de l'Hopital Français ,15,HOUSE,APARTMENT_BLOCK,720000,FOR_SALE,7,365.0,No info,No,,No,,No,,0,-365,,No,TO_BE_DONE_UP
96,10682401,Koekelberg,1081,Avenue de l'Hopital Français ,15,HOUSE,APARTMENT_BLOCK,1080000,FOR_SALE,4,300.0,No info,No,,Yes,,No,,140,-160,2,No,
97,10682400,Vielsalm,6690,Les Grands Champs ,36,HOUSE,HOUSE,285000,FOR_SALE,4,106.0,No,No,,Yes,,Yes,,900,794,4,No,GOOD
98,10682396,Namur,5000,Place Wiertz ,2,HOUSE,HOUSE,950000,FOR_SALE,7,363.0,No,No,Yes,No,,Yes,290.0,0,-363,4,No,AS_NEW
99,10682393,Wevelgem,8560,Vanackerestraat ,2,HOUSE,HOUSE,219500,FOR_SALE,3,214.0,No info,No,No,No,,No,,172,-42,,No,GOOD
100,10682391,Lembeek,1502,Claesplein ,18,HOUSE,APARTMENT_BLOCK,465000,FOR_SALE,5,200.0,No,No,,Yes,,No,,292,92,2,No,GOOD
101,10682390,Lembeek,1502,Claesplein ,18,HOUSE,APARTMENT_BLOCK,465000,FOR_SALE,5,200.0,No,No,,Yes,,No,,292,92,2,No,GOOD
102,10682386,Wemmel,1780,Meyskensstraat ,222,APARTMENT,APARTMENT,410000,FOR_SALE,3,105.0,No,No,,Yes,16.0,No,,,No info,2,No,AS_NEW
103,10682384,Wemmel,1780,Meyskensstraat ,222,HOUSE,APARTMENT_BLOCK,298000,FOR_SALE,2,188.0,No,No,,Yes,15.0,Yes,34.0,159,-29,3,No,TO_BE_DONE_UP
104,10682383,Wellen,3830,Dorpsstraat ,28A,HOUSE,HOUSE,399900,FOR_SALE,3,172.0,No info,No,No,Yes,,Yes,,332,160,4,No,AS_NEW
105,10682382,Waterloo,1410,Chaussée de Tervuren ,186,HOUSE,VILLA,2100000,FOR_SALE,6,416.0,No,Yes,No,Yes,22.0,No,,4050,3634,4,No,AS_NEW
106,10682381,Koksijde,8670,Zeelaan ,276,APARTMENT,APARTMENT,299000,FOR_SALE,3,95.0,No,Yes,No,Yes,,No,,No info,No info,3,No,
107,10682378,Onkerzele,9500,Onkerzelestraat ,272,APARTMENT,APARTMENT,139000,FOR_SALE,2,82.0,No,No,,No,,No,,No info,No info,2,No,GOOD
108,10682377,Onkerzele,9500,Onkerzelestraat ,272,APARTMENT,APARTMENT,165000,FOR_SALE,2,76.0,No,No,,No,,No,,No info,No info,2,No,GOOD
109,10682376,Onkerzele,9500,Onkerzelestraat ,272,APARTMENT,APARTMENT,199000,FOR_SALE,3,104.0,No,No,,Yes,,No,,No info,No info,2,No,GOOD
110,10682375,Gooik,1755,Edingsesteenweg ,91,HOUSE,HOUSE,469000,FOR_SALE,5,297.0,No,No,Yes,Yes,,No,,918,621,4,No,GOOD
111,10682371,Antwerpen,2018,Generaal Lemanstraat ,55,APARTMENT,APARTMENT,309500,FOR_SALE,3,,No info,No,No,No,,No,,No info,No info,no info,No,No info
112,10682369,Huy,4500,Avenuedes Ardennes ,7d,HOUSE,HOUSE,149500,FOR_SALE,3,100.0,No,No,,No,,No,,265,165,3,No,GOOD
113,10682368,Antwerpen,2018,Generaal Lemanstraat ,55,APARTMENT,APARTMENT,269500,FOR_SALE,2,,No info,No,No,No,,No,,No info,No info,no info,No,No info
114,10682365,Antwerpen ,2000,Leopold de Waelplaats ,6,APARTMENT,APARTMENT,239000,FOR_SALE,2,110.0,No,No,No,No,,No,,No info,No info,no info,No,No info
115,10682364,Sint Amandsberg,9040,Antwerpsesteenweg ,211,HOUSE,,303000,FOR_SALE,3,131.0,No,Yes,No,Yes,12.0,Yes,,290,159,,No,GOOD
116,10682363,Antwerpen,2018,Generaal Lemanstraat ,55,APARTMENT,APARTMENT,203500,FOR_SALE,1,,No info,No,No,No,,No,,No info,No info,no info,No,No info
117,10682362,Gembloux,5030,Chaussée de Namur ,47,HOUSE,HOUSE,109000,FOR_SALE,2,92.0,No,No,,Yes,,No,,0,-92,3,No,TO_RENOVATE
118,10682361,Gembloux,5030,Chaussée de Namur ,47,HOUSE,APARTMENT_BLOCK,490000,FOR_SALE,0,,No info,No,,No,,No,,0,No info,2,No,GOOD
119,10682360,Boussu,7300,"Rue de l'Eglise, ",1,HOUSE,HOUSE,45000,FOR_SALE,2,,No info,No,,No,,No,,300,No info,2,No,
120,10681361,Oudergem,1160,Vorstlaan ,292,APARTMENT,PENTHOUSE,370000,FOR_SALE,2,100.0,No,Yes,No,Yes,4.0,No,,No info,No info,2,No,AS_NEW
121,10681258,Kraainem,1950,Avenue Baron Albert d'Huart ,130,APARTMENT,APARTMENT,380000,FOR_SALE,3,108.0,No,Yes,No,Yes,17.0,No,,No info,No info,3,No,TO_BE_DONE_UP
122,10681832,Embourg,4053,Rue Pierre Henvard ,2,APARTMENT,PENTHOUSE,399000,FOR_SALE,3,145.0,No,No,,Yes,20.0,No,,No info,No info,3,No,GOOD
123,10681830,Embourg,4053,Rue Pierre Henvard ,2,APARTMENT,APARTMENT,399000,FOR_SALE,3,145.0,No,No,,Yes,20.0,No,,No info,No info,3,No,GOOD
124,10681410,Kraainem,1950,"Wezembeeklaan, ",120,APARTMENT,APARTMENT,595000,FOR_SALE,3,120.0,No,Yes,No,Yes,13.0,No,,,No info,,No,AS_NEW
125,10678924,Lede,9340,Hoogstraat ,20,APARTMENT,APARTMENT,195000,FOR_SALE,2,91.0,No,Yes,No,Yes,,No,,,No info,3,No,AS_NEW
126,10679101,Hotton,6990,Rue Simon ,46/2,APARTMENT,PENTHOUSE,375000,FOR_SALE,3,214.0,No,Yes,No,No,,No,,,No info,2,No,TO_BE_DONE_UP
127,10677844,Gent,9000,"Zuidstationstraat, ",28,APARTMENT,APARTMENT,185000,FOR_SALE,2,101.0,No,No,,Yes,2.0,No,,,No info,2,No,TO_RESTORE
128,10676921,Leuven,3000,Vismarkt ,10,APARTMENT,FLAT_STUDIO,199000,FOR_SALE,0,31.0,No,Yes,,Yes,3.0,No,,No info,No info,4,No,GOOD
129,10677802,Borgerhout,2140,Plantin en Moretuslei ,135A,APARTMENT,APARTMENT,245000,FOR_SALE,2,106.0,No,No,,Yes,6.0,No,,,No info,3,No,JUST_RENOVATED
130,10677649,Auderghem,1160,Place Communale ,8,APARTMENT,APARTMENT,315000,FOR_SALE,2,77.0,No,Yes,No,Yes,6.0,No,,,No info,2,No,AS_NEW
131,10676530,Knokke-Heist,8300,"Koningslaan, ",131,APARTMENT,APARTMENT,594000,FOR_SALE,3,78.0,No,Yes,No,Yes,6.0,No,,,No info,2,No,AS_NEW
132,10479538,Knokke,8300,Albert plein ,6,APARTMENT,APARTMENT,647500,FOR_SALE,2,74.0,No,Yes,No,Yes,,No,,No info,No info,2,No,JUST_RENOVATED
133,10673143,Arlon,6700,Avenue de Longwy ,340,APARTMENT,APARTMENT,230000,FOR_SALE,1,54.0,No,No,,Yes,,No,,No info,No info,,No,GOOD
134,10673142,Arlon,6700,Avenue de Longwy ,340,APARTMENT,APARTMENT,260000,FOR_SALE,2,110.0,No,No,,No,,Yes,,No info,No info,4,No,GOOD
135,10673608,Gent,9000,Sluizeken ,16,APARTMENT,APARTMENT,299000,FOR_SALE,1,76.0,No,No,,Yes,9.0,No,,,No info,2,No,GOOD
136,10673609,Gent,9000,Sluizeken ,16,APARTMENT,APARTMENT,299000,FOR_SALE,1,76.0,No,No,,Yes,9.0,No,,,No info,2,No,GOOD
137,10631448,Gent,9000,Zwijnaardsesteenweg ,23,APARTMENT,APARTMENT,405000,FOR_SALE,3,110.0,No,No,Yes,No,,No,,No info,No info,2,No,JUST_RENOVATED
138,10673204,Uccle,1180,Montagne de Saint-Job ,100,APARTMENT,APARTMENT,750000,FOR_SALE,2,197.0,No,Yes,No,Yes,40.0,No,,No info,No info,4,No,AS_NEW
139,10672667,Bruxelles ,1000,Boulevard de la Cambre ,42,APARTMENT,PENTHOUSE,200000,FOR_SALE,1,43.0,No,Yes,No,Yes,8.0,No,,,No info,2,No,AS_NEW
140,10672892,Kessel-Lo,3010,Tiensesteenweg ,93,APARTMENT,APARTMENT,295000,FOR_SALE,2,81.0,No,No,No,Yes,12.0,No,,,No info,2,No,GOOD
141,10672808,,,No info,No info,APARTMENT,DUPLEX,339000,FOR_SALE,2,90.0,No,No,Yes,Yes,5.0,Yes,6.0,No info,No info,1,No,AS_NEW
142,10672511,St Genesius Rode,1640,Fonteinstraat ,11,APARTMENT,APARTMENT,345000,FOR_SALE,2,88.0,No,Yes,No,Yes,17.0,No,,No info,No info,,No,JUST_RENOVATED
143,10672778,Gent,9000,Kouter ,98,APARTMENT,APARTMENT,549000,FOR_SALE,3,145.0,No,Yes,No,Yes,3.0,No,,,No info,4,No,TO_BE_DONE_UP
144,10681373,Anderlecht,1070,Rue Potaerdenberg ,31,APARTMENT,APARTMENT,260000,FOR_SALE,2,105.0,No,Yes,No,Yes,5.0,No,,No info,No info,2,No,GOOD
145,10672098,Ans,4430,Rue de l'Yser ,30,APARTMENT,APARTMENT,420000,FOR_SALE,3,144.0,No,No,,Yes,18.0,No,,No info,No info,,No,GOOD
146,10672317,Brussel,1050,Waterloosesteenweg ,631,APARTMENT,APARTMENT,765000,FOR_SALE,4,253.0,No,Yes,No,Yes,11.0,No,,No info,No info,2,No,GOOD
147,10672307,Brussel,1050,Waterloosesteenweg ,631,APARTMENT,APARTMENT,985000,FOR_SALE,4,221.0,No,Yes,No,No,,No,,No info,No info,2,No,TO_BE_DONE_UP
148,10679364,Bruxelles,1000,Rue Royale ,178,APARTMENT,FLAT_STUDIO,165000,FOR_SALE,0,40.0,No,Yes,No,Yes,5.0,No,,No info,No info,4,No,JUST_RENOVATED
149,10680511,Wetteren,9230,Zuidlaan ,72,APARTMENT,APARTMENT,220000,FOR_SALE,2,78.0,No,No,,No,,No,,,No info,2,No,GOOD
150,10535823,Ottignies (Limelette),1342,Av. Albert ,1er,APARTMENT,GROUND_FLOOR,395000,FOR_SALE,3,113.0,No info,No,,Yes,14.0,No,,No info,No info,,No,
151,10682415,Bastogne,6600,Place McAuliffe ,43,HOUSE,VILLA,585000,FOR_SALE,4,,No,No,,No,,Yes,1379.0,0,No info,4,No,
152,10682412,Woluwe-Saint-Lambert,1200,Avenue de Woluwe-Saint-Lambert ,35,HOUSE,APARTMENT_BLOCK,750000,FOR_SALE,3,180.0,No info,No,,No,,No,,0,-180,no info,No,No info
153,10682411,Woluwe-Saint-Lambert,1200,Avenue de Woluwe-Saint-Lambert ,35,HOUSE,HOUSE,455000,FOR_SALE,5,180.0,No,No,,No,,No,,0,-180,2,No,TO_BE_DONE_UP
154,10682405,Koekelberg,1081,Avenue de l'Hopital Français ,15,HOUSE,APARTMENT_BLOCK,1080000,FOR_SALE,4,300.0,No info,No,,Yes,,No,,140,-160,2,No,
155,10682403,Koekelberg,1081,Avenue de l'Hopital Français ,15,HOUSE,APARTMENT_BLOCK,720000,FOR_SALE,7,365.0,No info,No,,No,,No,,0,-365,,No,TO_BE_DONE_UP
156,10682401,Koekelberg,1081,Avenue de l'Hopital Français ,15,HOUSE,APARTMENT_BLOCK,1080000,FOR_SALE,4,300.0,No info,No,,Yes,,No,,140,-160,2,No,
157,10682400,Vielsalm,6690,Les Grands Champs ,36,HOUSE,HOUSE,285000,FOR_SALE,4,106.0,No,No,,Yes,,Yes,,900,794,4,No,GOOD
158,10682396,Namur,5000,Place Wiertz ,2,HOUSE,HOUSE,950000,FOR_SALE,7,363.0,No,No,Yes,No,,Yes,290.0,0,-363,4,No,AS_NEW
159,10682393,Wevelgem,8560,Vanackerestraat ,2,HOUSE,HOUSE,219500,FOR_SALE,3,214.0,No info,No,No,No,,No,,172,-42,,No,GOOD
160,10682391,Lembeek,1502,Claesplein ,18,HOUSE,APARTMENT_BLOCK,465000,FOR_SALE,5,200.0,No,No,,Yes,,No,,292,92,2,No,GOOD
161,10682390,Lembeek,1502,Claesplein ,18,HOUSE,APARTMENT_BLOCK,465000,FOR_SALE,5,200.0,No,No,,Yes,,No,,292,92,2,No,GOOD
162,10682386,Wemmel,1780,Meyskensstraat ,222,APARTMENT,APARTMENT,410000,FOR_SALE,3,105.0,No,No,,Yes,16.0,No,,,No info,2,No,AS_NEW
163,10682384,Wemmel,1780,Meyskensstraat ,222,HOUSE,APARTMENT_BLOCK,298000,FOR_SALE,2,188.0,No,No,,Yes,15.0,Yes,34.0,159,-29,3,No,TO_BE_DONE_UP
164,10682383,Wellen,3830,Dorpsstraat ,28A,HOUSE,HOUSE,399900,FOR_SALE,3,172.0,No info,No,No,Yes,,Yes,,332,160,4,No,AS_NEW
165,10682382,Waterloo,1410,Chaussée de Tervuren ,186,HOUSE,VILLA,2100000,FOR_SALE,6,416.0,No,Yes,No,Yes,22.0,No,,4050,3634,4,No,AS_NEW
166,10682381,Koksijde,8670,Zeelaan ,276,APARTMENT,APARTMENT,299000,FOR_SALE,3,95.0,No,Yes,No,Yes,,No,,No info,No info,3,No,
167,10682378,Onkerzele,9500,Onkerzelestraat ,272,APARTMENT,APARTMENT,139000,FOR_SALE,2,82.0,No,No,,No,,No,,No info,No info,2,No,GOOD
168,10682377,Onkerzele,9500,Onkerzelestraat ,272,APARTMENT,APARTMENT,165000,FOR_SALE,2,76.0,No,No,,No,,No,,No info,No info,2,No,GOOD
169,10682376,Onkerzele,9500,Onkerzelestraat ,272,APARTMENT,APARTMENT,199000,FOR_SALE,3,104.0,No,No,,Yes,,No,,No info,No info,2,No,GOOD
170,10682375,Gooik,1755,Edingsesteenweg ,91,HOUSE,HOUSE,469000,FOR_SALE,5,297.0,No,No,Yes,Yes,,No,,918,621,4,No,GOOD
171,10682371,Antwerpen,2018,Generaal Lemanstraat ,55,APARTMENT,APARTMENT,309500,FOR_SALE,3,,No info,No,No,No,,No,,No info,No info,no info,No,No info
172,10682369,Huy,4500,Avenuedes Ardennes ,7d,HOUSE,HOUSE,149500,FOR_SALE,3,100.0,No,No,,No,,No,,265,165,3,No,GOOD
173,10682368,Antwerpen,2018,Generaal Lemanstraat ,55,APARTMENT,APARTMENT,269500,FOR_SALE,2,,No info,No,No,No,,No,,No info,No info,no info,No,No info
174,10682365,Antwerpen ,2000,Leopold de Waelplaats ,6,APARTMENT,APARTMENT,239000,FOR_SALE,2,110.0,No,No,No,No,,No,,No info,No info,no info,No,No info
175,10682364,Sint Amandsberg,9040,Antwerpsesteenweg ,211,HOUSE,,303000,FOR_SALE,3,131.0,No,Yes,No,Yes,12.0,Yes,,290,159,,No,GOOD
176,10682363,Antwerpen,2018,Generaal Lemanstraat ,55,APARTMENT,APARTMENT,203500,FOR_SALE,1,,No info,No,No,No,,No,,No info,No info,no info,No,No info
177,10682362,Gembloux,5030,Chaussée de Namur ,47,HOUSE,HOUSE,109000,FOR_SALE,2,92.0,No,No,,Yes,,No,,0,-92,3,No,TO_RENOVATE
178,10682361,Gembloux,5030,Chaussée de Namur ,47,HOUSE,APARTMENT_BLOCK,490000,FOR_SALE,0,,No info,No,,No,,No,,0,No info,2,No,GOOD
179,10682360,Boussu,7300,"Rue de l'Eglise, ",1,HOUSE,HOUSE,45000,FOR_SALE,2,,No info,No,,No,,No,,300,No info,2,No,
